30;4;29;9;35;26;15;16;30;29;7;12;16;17;29;6;19;9;27;21
37;33;19;27;30;18;24;29;35;38;14;13;40;30;15;14;25;5;31;36
38;36;40;29;33;22;15;24;29;5;31;15;33;27;6;23;4;30;11;12
11;10;19;16;15;17;24;35;25;30;11;5;23;20;36;25;14;27;18;27
21;35;30;13;10;11;17;9;10;6;4;26;38;15;20;22;19;24;18;35
40;10;38;11;38;11;40;5;16;20;15;12;14;4;18;28;35;16;22;6
39;19;7;12;40;22;14;11;5;34;22;13;11;16;34;16;23;29;16;25
35;38;32;30;21;6;19;25;5;39;8;23;7;16;34;20;11;14;27;17
29;13;29;19;11;33;32;32;29;14;4;12;40;38;32;25;4;10;10;22
21;16;14;30;33;29;27;38;4;22;27;23;15;21;7;26;34;29;17;16
5;8;17;19;38;19;7;25;31;31;9;15;24;4;40;39;37;21;11;25
24;15;21;18;17;17;16;14;8;6;29;17;22;17;22;35;16;36;24;5
27;31;9;13;12;12;8;23;4;23;39;4;38;9;32;10;36;24;20;9
40;4;37;30;18;24;24;19;13;7;28;10;4;16;11;19;38;4;20;21
21;39;8;8;24;15;37;33;25;4;20;27;17;9;31;27;29;38;21;38
25;27;20;31;8;17;22;29;17;4;18;26;21;12;31;30;23;22;6;4
7;39;33;4;13;22;25;5;29;38;7;22;18;26;32;15;12;37;21;38
34;10;12;13;30;11;16;4;26;15;13;10;26;6;26;21;19;14;38;6
7;7;5;9;16;22;29;30;21;32;22;8;6;7;6;15;24;4;8;4
5;17;26;36;24;29;10;26;36;4;16;18;37;14;33;17;29;17;19;5
